SoPhieuMuon,TenThietBi,MaThietBi,SoLuong,NgayMuon,HanTra,TaiKhoan,TinhTrangMuon,ID
PM_20260504_001,"Bảng trắng di động",TB-DH-001,1,"2026-05-04 00:00:00","2026-05-10 00:00:00",vttam666,"đã trả",1
PM_20260504_001,"Bộ flashcard tiếng Anh",TB-DH-010,1,"2026-05-04 00:00:00","2026-05-10 00:00:00",vttam666,"đã trả",2
PM_20260506_001,"Smart TV Samsung 55 inch",TB-MC-005,1,"2026-05-06 00:00:00","2026-05-13 00:00:00",nvhung321,"đã trả",3
PM_20260506_001,"Dây HDMI Ugreen 3m",TB-PK-007,2,"2026-05-06 00:00:00","2026-05-13 00:00:00",nvhung321,"đã trả",4
PM_20260506_001,"Con trỏ trình chiếu Logitech R400",TB-PK-010,1,"2026-05-06 00:00:00","2026-05-13 00:00:00",nvhung321,"đã trả",5
PM_20260507_001,"Bộ thực hành Arduino Uno",TB-TN-001,2,"2026-05-07 00:00:00","2026-05-14 00:00:00",tmquan333,"đã trả",6
PM_20260507_001,"Bộ cảm biến nhiệt độ DHT11",TB-TN-003,5,"2026-05-07 00:00:00","2026-05-14 00:00:00",tmquan333,"đã trả",7
PM_20260507_001,"Đồng hồ vạn năng điện tử",TB-TN-004,2,"2026-05-07 00:00:00","2026-05-14 00:00:00",tmquan333,"đã trả",8
PM_20260508_001,"Bộ thước hình học",TB-DH-003,4,"2026-05-08 00:00:00","2026-05-15 00:00:00",ltmai555,"đã trả",9
PM_20260508_001,"Máy tính Casio FX-580VN X",TB-DH-004,5,"2026-05-08 00:00:00","2026-05-15 00:00:00",ltmai555,"đã trả",10
PM_20260509_001,"USB Kingston 64GB",TB-PK-006,2,"2026-05-09 00:00:00","2026-05-16 00:00:00",nvhung321,"đã trả",11
PM_20260509_001,"Máy in Canon LBP 2900",TB-VP-001,1,"2026-05-09 00:00:00","2026-05-16 00:00:00",nvhung321,"đã trả",12
PM_20260510_001,"Bóng đá Động Lực số 5",TB-TT-001,2,"2026-05-10 00:00:00","2026-05-17 00:00:00",vttam666,"đã trả",13
PM_20260510_001,"Còi trọng tài Fox 40",TB-TT-007,2,"2026-05-10 00:00:00","2026-05-17 00:00:00",vttam666,"đã trả",14
PM_20260510_001,"Áo bib chia đội",TB-TT-011,10,"2026-05-10 00:00:00","2026-05-17 00:00:00",vttam666,"đã trả",15
PM_20260512_001,"Laptop Dell Latitude 5420",TB-PC-001,1,"2026-05-12 00:00:00","2026-05-19 00:00:00",tmquan333,"đã trả",16
PM_20260512_001,"Chuột Logitech B100",TB-PK-001,1,"2026-05-12 00:00:00","2026-05-19 00:00:00",tmquan333,"đã trả",17
PM_20260512_001,"Tai nghe Sony MDR-ZX110",TB-PK-004,1,"2026-05-12 00:00:00","2026-05-19 00:00:00",tmquan333,"đã trả",18
PM_20260513_001,"Bộ mô hình phân tử hóa học",TB-DH-011,2,"2026-05-13 00:00:00","2026-05-20 00:00:00",ltmai555,"đã trả",19
PM_20260513_001,"Bộ thí nghiệm hóa học cơ bản",TB-TN-010,1,"2026-05-13 00:00:00","2026-05-20 00:00:00",ltmai555,"đã trả",20
PM_20260514_001,"Loa kéo Dalton TS-15G850X",TB-AT-001,1,"2026-05-14 00:00:00","2026-05-21 00:00:00",nvhung321,"Đã trả",21
PM_20260514_001,"Micro không dây Shure",TB-AT-003,2,"2026-05-14 00:00:00","2026-05-21 00:00:00",nvhung321,"Đã trả",22
PM052026001,"Laptop Dell Latitude 5420",TB-PC-001,1,"2026-05-19 02:34:32","2026-05-14 00:00:00",admin,"Đã trả",23
PM052026002,"Laptop Dell Latitude 5420",TB-PC-001,1,"2026-05-19 02:41:56","2026-05-21 00:00:00",admin,"Đang mượn",24
PM052026003,"Laptop Dell Latitude 5420",TB-PC-001,1,"2026-05-19 02:43:01","2026-05-19 00:00:00",admin,"Đang mượn",25
PM052026010,"Laptop Dell Latitude 5420",TB-PC-001,1,"2026-05-19 18:14:17","2026-05-25 00:00:00",admin,"Đang mượn",26
PM052026020,"Laptop Dell Latitude 5420",TB-PC-001,1,"2026-05-19 19:49:43","2026-05-25 00:00:00",admin,"Đang mượn",27
PM-20260519194720-5799,"Laptop Asus",TB999,1,"2026-05-20 00:47:21","2026-05-26 00:00:00",admin,"Đang mượn",29
PM-20260519200029-4150,"Laptop Asus",TB999,1,"2026-05-20 01:00:30","2026-05-26 00:00:00",admin,"Đang mượn",30
PM-20260519220700-3202,"Laptop Asus",TB999,1,"2026-05-20 03:07:00","2026-05-26 00:00:00",admin,"Đang mượn",31
PM-20260519225134-6999,"Laptop Asus",TB999,1,"2026-05-20 03:51:34","2026-05-26 00:00:00",admin,"Đang mượn",32
PM-20260520203654-9221,"Laptop Asus",TB999,1,"2026-05-21 01:36:54","2026-05-27 00:00:00",admin,"Đang mượn",1031
PM-20260521194859-9541,"Loa Bluetooth JBL PartyBox",TB-AT-002,1,"2026-05-22 00:48:59","2026-05-28 00:00:00",admin,pending,1034
PM-20260521195541-3454,"Loa Bluetooth JBL PartyBox",TB-AT-002,1,"2026-05-22 00:55:41","2026-05-28 00:00:00",admin,pending,1035
PM-20260521200205-1454,"Loa Bluetooth JBL PartyBox",TB-AT-002,1,"2026-05-22 01:02:06","2026-05-28 00:00:00",admin,pending,1036
PM-20260521201315-2262,"Amply Jarguar PA-203N",TB-AT-004,1,"2026-05-22 01:13:15","2026-05-28 00:00:00",admin,pending,1037
